Week, Quantity, Amount, A, B, C, D, E, F, G, H, I, J, L, O
2015-10-12, 1, 3600, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-10-07, 1, 3600, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-10-03, 2, 300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
2015-10-02, 1, 3600, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
2015-09-26, 1, 750, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-09-24, 2, 300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
2015-09-23, 18, 2700, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18
2015-09-22, 2, 300, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-09-21, 10, 1400, 0, 0, 8, 2, 0, 0, 0, 0, 0, 0, 0, 0
2015-09-18, 2, 240, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-09-12, 8, 960, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-09-08, 1, 3600, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
2015-09-07, 2, 240, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-09-03, 3, 420, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-09-01, 3, 3900, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2
2015-08-31, 26, 3380, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-08-27, 16, 2400, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16
2015-08-25, 10, 1300, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-08-22, 1, 1950, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
2015-08-20, 2, 7200, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
2015-08-19, 6, 840, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0
2015-08-15, 3, 420, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-08-13, 2, 240, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0
2015-08-12, 4, 1200, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
2015-08-11, 3, 4050, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0
2015-08-06, 6, 4500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
2015-08-04, 4, 480, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0
2015-08-03, 1, 3600, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
2015-07-28, 1, 1950, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-07-22, 4, 7480, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1
2015-07-18, 4, 3920, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-07-15, 1, 3600, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-07-11, 3, 3840, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0
2015-07-06, 5, 2510, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-07-04, 2, 300, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
2015-07-03, 2, 200, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0
2015-06-25, 2, 300, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-06-22, 8, 5275, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1
2015-06-16, 21, 2610, 0, 18, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-06-15, 16, 1600, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16
2015-06-13, 1, 1875, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
2015-06-12, 1, 3600, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-06-10, 1, 1875, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
2015-06-08, 1, 3600, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-06-06, 1, 1875, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-05-28, 23, 3450, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23
2015-05-20, 1, 1875, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-05-14, 3, 450, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
2015-05-12, 2, 1500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
2015-05-11, 2, 1500, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-05-08, 1, 3600, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-05-07, 1, 3600, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-05-04, 5, 4500, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1
2015-05-01, 3, 450, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0
2015-04-30, 2, 7200, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0
2015-04-25, 7, 1050, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
2015-04-23, 3, 450, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0
2015-04-22, 6, 3225, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 4
2015-04-18, 3, 450, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-04-16, 8, 1200, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-04-12, 3, 10800, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-04-09, 3, 450, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
2015-04-07, 1, 3600, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
2015-04-06, 8, 6255, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 6
2015-04-04, 3, 450, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-04-03, 1, 3600, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
2015-04-01, 1, 1875, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-03-30, 9, 8250, 2, 1, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0
2015-03-27, 1, 3600, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
2015-03-26, 1, 150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
2015-03-25, 2, 260, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0
2015-03-24, 6, 6075, 0, 0, 5, 1, 0, 0, 0, 0, 0, 0, 0, 0
